,0
0,VALE3.SA
1,ITUB4.SA
2,PETR4.SA
3,B3SA3.SA
4,BBDC4.SA
5,PETR3.SA
6,ABEV3.SA
7,MGLU3.SA
8,WEGE3.SA
9,ITSA4.SA
10,BBAS3.SA
11,GNDI3.SA
12,NTCO3.SA
13,SUZB3.SA
14,RENT3.SA
15,JBSS3.SA
16,LREN3.SA
17,BBDC3.SA
18,RADL3.SA
19,UGPA3.SA
20,BRDT3.SA
21,VVAR3.SA
22,GGBR4.SA
23,RAIL3.SA
24,EQTL3.SA
25,BPAC11.SA
26,LAME4.SA
27,KLBN11.SA
28,VIVT3.SA
29,CSNA3.SA
30,BBSE3.SA
31,BRFS3.SA
32,ENEV3.SA
33,HAPV3.SA
34,SANB11.SA
35,BTOW3.SA
36,SBSP3.SA
37,CCRO3.SA
38,BRAP4.SA
39,HYPE3.SA
40,CMIG4.SA
41,TOTS3.SA
42,ELET3.SA
43,ENGI11.SA
44,AZUL4.SA
45,SULA11.SA
46,TIMS3.SA
47,PCAR3.SA
48,EGIE3.SA
49,IRBR3.SA
50,YDUQ3.SA
51,QUAL3.SA
52,CSAN3.SA
53,CPLE6.SA
54,PRIO3.SA
55,LCAM3.SA
56,ELET6.SA
57,COGN3.SA
58,BRML3.SA
59,CYRE3.SA
60,FLRY3.SA
61,GOAU4.SA
62,CRFB3.SA
63,USIM5.SA
64,TAEE11.SA
65,EMBR3.SA
66,MULT3.SA
67,BRKM5.SA
68,CPFE3.SA
69,MRVE3.SA
70,MRFG3.SA
71,ENBR3.SA
72,CIEL3.SA
73,EZTC3.SA
74,CVCB3.SA
75,GOLL4.SA
76,IGTA3.SA
77,BEEF3.SA
78,ECOR3.SA
79,JHSF3.SA
80,HGTX3.SA
